word,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
one,0.754,0.818,0.772,0.746,0.724,0.706,0.69,0.687,0.698,0.715,0.747,0.863,0.989
in,0.887,0.936,0.908,0.869,0.812,0.788,0.759,0.757,0.757,0.765,0.793,0.875,0.99
from,0.909,0.932,0.908,0.865,0.803,0.78,0.748,0.748,0.744,0.745,0.767,0.87,0.988
into,0.815,0.866,0.835,0.818,0.782,0.767,0.742,0.766,0.767,0.75,0.773,0.868,0.989
by,0.862,0.905,0.883,0.846,0.793,0.778,0.752,0.742,0.742,0.747,0.763,0.861,0.977
or,0.84,0.905,0.873,0.835,0.795,0.769,0.742,0.731,0.735,0.743,0.768,0.857,0.988
a,0.732,0.631,0.534,0.633,0.654,0.661,0.668,0.667,0.653,0.657,0.661,0.688,0.98
of,0.898,0.937,0.918,0.885,0.829,0.798,0.75,0.741,0.743,0.75,0.786,0.879,0.986
as,0.882,0.939,0.914,0.877,0.827,0.8,0.783,0.772,0.766,0.772,0.805,0.878,0.985
with,0.875,0.927,0.905,0.861,0.807,0.784,0.755,0.755,0.772,0.788,0.812,0.894,0.991
to,0.804,0.849,0.818,0.811,0.761,0.751,0.724,0.73,0.728,0.732,0.755,0.835,0.984
an,0.747,0.652,0.551,0.636,0.611,0.631,0.633,0.645,0.649,0.652,0.664,0.697,0.978
that,0.943,0.975,0.964,0.946,0.919,0.913,0.907,0.91,0.904,0.903,0.901,0.945,0.997
the,0.734,0.653,0.557,0.66,0.666,0.654,0.656,0.665,0.667,0.657,0.67,0.702,0.973
on,0.827,0.872,0.831,0.8,0.757,0.747,0.73,0.749,0.778,0.784,0.809,0.888,0.996
is,0.942,0.977,0.971,0.953,0.923,0.904,0.896,0.887,0.881,0.876,0.881,0.908,0.996
be,0.789,0.674,0.574,0.649,0.62,0.624,0.638,0.653,0.647,0.657,0.66,0.693,0.979
cause,0.765,0.598,0.472,0.585,0.623,0.64,0.664,0.677,0.682,0.688,0.677,0.685,0.973
become,0.811,0.713,0.626,0.738,0.725,0.75,0.742,0.762,0.765,0.761,0.756,0.768,0.972
something,0.813,0.762,0.695,0.748,0.729,0.735,0.731,0.744,0.739,0.734,0.736,0.766,0.982
event,0.959,0.971,0.959,0.936,0.915,0.898,0.876,0.866,0.867,0.876,0.882,0.923,0.995
situation,0.912,0.968,0.957,0.935,0.919,0.899,0.887,0.885,0.891,0.892,0.887,0.923,0.982
which,0.907,0.967,0.956,0.928,0.892,0.851,0.804,0.782,0.796,0.828,0.836,0.89,0.991
for,0.817,0.876,0.849,0.823,0.792,0.776,0.75,0.755,0.769,0.77,0.789,0.876,0.987
and,0.863,0.92,0.894,0.868,0.838,0.815,0.802,0.797,0.798,0.794,0.806,0.88,0.993
make,0.857,0.786,0.696,0.784,0.789,0.811,0.813,0.829,0.832,0.836,0.828,0.828,0.987
position,0.974,0.977,0.953,0.921,0.896,0.879,0.864,0.864,0.867,0.867,0.862,0.91,0.995
someone,0.77,0.84,0.803,0.789,0.763,0.747,0.727,0.728,0.742,0.751,0.763,0.838,0.988
especially,0.78,0.85,0.797,0.776,0.744,0.725,0.698,0.701,0.717,0.745,0.775,0.867,0.989
move,0.647,0.522,0.387,0.57,0.514,0.561,0.605,0.643,0.663,0.67,0.667,0.675,0.973
state,0.936,0.957,0.949,0.906,0.865,0.848,0.828,0.818,0.819,0.821,0.82,0.862,0.991
it,0.712,0.803,0.777,0.738,0.694,0.665,0.653,0.643,0.662,0.676,0.698,0.788,0.985
's,0.896,0.96,0.957,0.932,0.902,0.868,0.845,0.828,0.798,0.773,0.779,0.84,0.983
things,0.846,0.887,0.861,0.841,0.82,0.81,0.801,0.805,0.828,0.83,0.827,0.887,0.996
person,0.886,0.953,0.937,0.913,0.887,0.875,0.862,0.866,0.877,0.887,0.888,0.917,0.997
some,0.78,0.707,0.623,0.657,0.671,0.675,0.661,0.673,0.69,0.689,0.695,0.721,0.981
