word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
one,0.645,0.589,0.506,0.474,0.447,0.422,0.393,0.378,0.363,0.359,0.337,0.56
in,0.426,0.399,0.313,0.226,0.216,0.19,0.18,0.185,0.197,0.219,0.222,0.414
from,0.77,0.749,0.546,0.398,0.35,0.327,0.328,0.32,0.294,0.282,0.27,0.62
into,0.721,0.703,0.668,0.572,0.549,0.516,0.499,0.479,0.429,0.384,0.372,0.701
by,0.517,0.484,0.385,0.279,0.248,0.223,0.202,0.191,0.187,0.179,0.181,0.705
or,0.262,0.273,0.239,0.164,0.142,0.133,0.148,0.156,0.157,0.143,0.144,0.511
a,0.974,0.998,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.998,0.927
of,0.312,0.287,0.214,0.163,0.148,0.11,0.11,0.102,0.102,0.107,0.143,0.566
as,0.663,0.596,0.412,0.324,0.328,0.326,0.316,0.322,0.322,0.304,0.272,0.727
with,0.582,0.579,0.497,0.421,0.445,0.421,0.412,0.364,0.328,0.281,0.29,0.511
to,0.758,0.979,0.998,0.998,0.997,0.996,0.995,0.993,0.991,0.988,0.98,0.766
an,0.973,0.998,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.999,0.998,0.936
that,0.455,0.455,0.387,0.44,0.387,0.348,0.339,0.338,0.351,0.336,0.321,0.476
the,0.964,0.998,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.998,0.997,0.887
on,0.894,0.904,0.825,0.69,0.635,0.582,0.558,0.528,0.5,0.467,0.417,0.717
is,0.613,0.448,0.349,0.251,0.297,0.281,0.291,0.307,0.316,0.337,0.377,0.705
be,0.985,0.999,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.998,0.998,0.962
cause,0.981,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.984
become,0.988,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.918
something,0.941,0.996,1.0,1.0,0.999,0.999,0.999,0.999,0.998,0.998,0.996,0.953
event,0.584,0.637,0.646,0.592,0.554,0.491,0.45,0.459,0.46,0.446,0.378,0.606
situation,0.726,0.669,0.578,0.541,0.543,0.555,0.569,0.586,0.595,0.616,0.679,0.947
which,0.726,0.592,0.49,0.423,0.422,0.394,0.39,0.369,0.375,0.407,0.428,0.865
for,0.498,0.499,0.433,0.38,0.365,0.348,0.334,0.315,0.305,0.287,0.279,0.585
and,0.51,0.498,0.419,0.331,0.294,0.271,0.244,0.226,0.198,0.17,0.172,0.814
make,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
position,0.396,0.436,0.435,0.378,0.385,0.407,0.405,0.421,0.41,0.396,0.402,0.767
someone,0.619,0.602,0.565,0.528,0.503,0.466,0.477,0.439,0.409,0.383,0.335,0.883
especially,0.803,0.766,0.716,0.666,0.623,0.584,0.553,0.51,0.47,0.418,0.361,0.509
move,0.954,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.964
state,0.785,0.647,0.56,0.496,0.511,0.512,0.526,0.573,0.598,0.623,0.589,0.773
it,0.702,0.677,0.638,0.577,0.561,0.528,0.523,0.502,0.495,0.504,0.487,0.912
's,0.682,0.554,0.512,0.451,0.419,0.407,0.435,0.427,0.44,0.437,0.443,0.601
things,0.873,0.859,0.76,0.692,0.649,0.611,0.603,0.571,0.532,0.499,0.474,0.76
person,0.703,0.694,0.647,0.605,0.617,0.616,0.592,0.588,0.569,0.549,0.607,0.804
some,0.981,0.999,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.999,0.998,0.975
